scenario,item
你想充实自己大学生活并为履历添彩，所以你想参加一些含金量高的英语竞赛，你想知道各类大型英语竞赛信息。,77
你想参加校园歌手比赛但容易舞台紧张，你想知道选曲建议、气息控制技巧和缓解紧张的方法。,78
你准备去上海迪士尼玩，迪士尼的游乐项目很多，你却只有一天游玩的时间。你想知道有关游乐项目和路线安排的建议。,79
为积累设计类实习经历，你计划自学UI设计却选择困难，你想知道网站资源、实践工具和学习路径。,80
你报名了线上编程课程却进度缓慢，想了解同行者的建议，你想知道时间管理和练习技巧。,81
你想学习如何安全地为自己染发，尝试新的发色， 你想知道需要购买哪些产品以及如何避免弄脏衣物和皮肤。,82
你打算在雨天为校园里的流浪猫搭建一个临时避雨所， 你想知道用什么材料既防水又不会伤害到它们。,83
你想在寝室里种植一些可食用香草，比如薄荷、罗勒， 你想知道从种子开始培育的注意事项和如何防止小飞虫。,84
你报名了司法考试，但是目前学习进度较为缓慢，想知道复习策略、资料推荐和时间管理方案。,85
你打算学习几个简单的卡牌游戏，以便在聚会时能和大家一起玩，你想知道有哪些规则简单、互动性强的卡牌游戏推荐。,86
你准备在失眠的夜晚尝试一些助眠技巧， 你想知道除了数羊外，有哪些经过验证的呼吸法或冥想技巧可以快速入眠。,87
为应对毕业焦虑，你打算学习积极心理学但资料繁杂，你想知道一些关键书籍和实践建议。,88
你报名了线上口语课程但效果不佳，想了解更高效的学习方式，你想知道口语训练方法和资源推荐。,89
你想学习几个简单的手语，以便能与听障朋友进行基础交流，你想知道有哪些资源可以学习日常用语的手语表达。,90
你想开设个人社交账号分享摄影灵感，却不知如何持续输出内容，你想知道自媒体账号创作和互动技巧。,91
你打算在毕业前整理大学回忆，却难以选择照片和素材，你想知道一些剪辑软件和创意提案。,92
你心血来潮想买鲜花装饰自己的寝室，但是你不了解鲜花的花语，你想知道一些常见花的花语。,93
你计划在下个假期前往日本旅行，你希望能够更深入地体验当地和服文化，你想知道关于和服租赁的一些建议。,94
你负责英语视听说课程的小组项目作业，本次作业的内容是介绍一个中国节日习俗，但你不知道该如何安排，你想知道如何合理分工、有效沟通。,95
你打算在下次小组讨论时尝试用思维导图来梳理思路， 你想知道有哪些好用的思维导图软件和绘制的基本原则。,96
你想充实大学生活并为履历添彩，于是你想考取一些对实习和找工作有帮助的证书，你想知道相关信息。,97
你想暑假去欧洲旅游，但是从来没有出过国的你不知道怎么申请欧洲申根签证。你想知道申请签证的流程与注意事项。,98
你打算在冬季为室友们煮一锅热红酒，增添节日气氛， 你想知道基础的食材配方和烹饪时需要注意什么。,99
为缓解期末压力，你打算尝试冥想但不知如何入门，你想知道冥想的一些基础技巧。,100
